ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalkWh,AveragekWh
92124,7,2017,C,Y,0,0,0
92124,7,2017,I,Y,0,0,0
92124,7,2017,R,N,9921,5341003,538
92126,7,2017,A,Y,0,0,0
92126,7,2017,C,Y,2017,11686088,5794
92126,7,2017,I,Y,0,0,0
92126,7,2017,R,Y,25826,11839616,458
92127,7,2017,A,Y,0,0,0
92127,7,2017,C,Y,798,11112333,13925
92127,7,2017,I,Y,89,44113846,495661
92127,7,2017,R,Y,16836,12819645,761
92128,7,2017,A,Y,0,0,0
92128,7,2017,C,Y,1146,12474519,10885
92128,7,2017,I,Y,0,0,0
92128,7,2017,R,Y,22454,13093153,583
92129,7,2017,A,Y,0,0,0
92129,7,2017,C,Y,0,0,0
92129,7,2017,I,Y,0,0,0
92129,7,2017,R,N,18796,9465644,504
92130,7,2017,A,Y,0,0,0
92130,7,2017,C,N,876,9626567,10989
92130,7,2017,I,Y,0,0,0
92130,7,2017,R,N,22115,11499918,520
92131,7,2017,A,Y,0,0,0
92131,7,2017,C,Y,654,7462415,11410
92131,7,2017,I,Y,0,0,0
92131,7,2017,R,Y,13121,8108773,618
92132,7,2017,A,Y,0,0,0
92132,7,2017,C,Y,0,0,0
92132,7,2017,I,Y,0,0,0
92132,7,2017,R,Y,0,0,0
92134,7,2017,A,Y,0,0,0
92134,7,2017,C,Y,0,0,0
92134,7,2017,I,Y,0,0,0
92134,7,2017,R,Y,0,0,0
92135,7,2017,A,Y,0,0,0
92135,7,2017,C,Y,0,0,0
92135,7,2017,I,Y,0,0,0
92135,7,2017,R,Y,0,0,0
92136,7,2017,A,Y,0,0,0
92136,7,2017,C,Y,0,0,0
92136,7,2017,I,Y,0,0,0
92136,7,2017,R,Y,0,0,0
92139,7,2017,A,Y,0,0,0
92139,7,2017,C,Y,0,0,0
92139,7,2017,I,Y,0,0,0
92139,7,2017,R,N,10600,4955489,467
92145,7,2017,A,Y,0,0,0
92145,7,2017,C,Y,0,0,0
92145,7,2017,I,Y,0,0,0
92145,7,2017,R,Y,0,0,0
92152,7,2017,A,Y,0,0,0
92152,7,2017,C,Y,0,0,0
92152,7,2017,I,Y,0,0,0
92152,7,2017,R,Y,0,0,0
92154,7,2017,A,Y,0,0,0
92154,7,2017,C,Y,1780,13633123,7659
92154,7,2017,I,Y,30,10756237,358541
92154,7,2017,R,Y,21011,9324354,444
92155,7,2017,A,Y,0,0,0
92155,7,2017,C,Y,0,0,0
92155,7,2017,I,Y,0,0,0
92155,7,2017,R,Y,0,0,0
92158,7,2017,A,Y,0,0,0
92158,7,2017,C,Y,0,0,0
92158,7,2017,I,Y,0,0,0
92158,7,2017,R,Y,0,0,0
92161,7,2017,A,Y,0,0,0
92161,7,2017,C,Y,0,0,0
92161,7,2017,I,Y,0,0,0
92161,7,2017,R,Y,0,0,0
92173,7,2017,A,Y,0,0,0
92173,7,2017,C,N,625,5463554,8742
92173,7,2017,I,Y,0,0,0
92173,7,2017,R,N,7059,2334106,331
92179,7,2017,A,Y,0,0,0
92179,7,2017,C,Y,0,0,0
92179,7,2017,I,Y,0,0,0
92179,7,2017,R,Y,0,0,0
92182,7,2017,A,Y,0,0,0
92182,7,2017,C,Y,0,0,0
92182,7,2017,I,Y,0,0,0
92182,7,2017,R,Y,0,0,0
92199,7,2017,A,Y,0,0,0
92199,7,2017,C,Y,0,0,0
92199,7,2017,I,Y,0,0,0
92199,7,2017,R,Y,0,0,0
92536,7,2017,A,Y,0,0,0
92536,7,2017,C,Y,0,0,0
92536,7,2017,I,Y,0,0,0
92536,7,2017,R,Y,0,0,0
92624,7,2017,A,Y,0,0,0
92624,7,2017,C,Y,0,0,0
92624,7,2017,I,Y,0,0,0
92624,7,2017,R,N,2953,1611871,546
92625,7,2017,A,Y,0,0,0
92629,7,2017,A,Y,0,0,0
92629,7,2017,C,Y,0,0,0
92629,7,2017,I,Y,0,0,0
92629,7,2017,R,N,13456,6773427,503
92649,7,2017,A,Y,0,0,0
92651,7,2017,A,Y,0,0,0
92651,7,2017,C,Y,0,0,0
92651,7,2017,I,Y,0,0,0
92651,7,2017,R,Y,1694,1110505,656
92653,7,2017,A,Y,0,0,0
92653,7,2017,C,N,351,1842223,5248
92653,7,2017,I,Y,0,0,0
92653,7,2017,R,N,5966,5646600,946
92654,7,2017,A,Y,0,0,0
92654,7,2017,C,Y,0,0,0
92654,7,2017,I,Y,0,0,0
92654,7,2017,R,Y,0,0,0
92656,7,2017,A,Y,0,0,0
92656,7,2017,C,Y,0,0,0
92656,7,2017,I,Y,0,0,0
92656,7,2017,R,N,2506,1399107,558
92672,7,2017,A,Y,0,0,0
92672,7,2017,C,Y,1277,6042030,4731
92672,7,2017,I,Y,0,0,0
92672,7,2017,R,Y,15951,7590099,476
92673,7,2017,A,Y,0,0,0
92673,7,2017,C,N,795,6135398,7717
92673,7,2017,I,Y,0,0,0
92673,7,2017,R,N,10364,7300484,704
92674,7,2017,A,Y,0,0,0
92674,7,2017,C,Y,0,0,0
92674,7,2017,I,Y,0,0,0
92674,7,2017,R,Y,0,0,0
92675,7,2017,A,Y,84,3124226,37193
92675,7,2017,C,Y,1583,4932930,3116
92675,7,2017,I,Y,0,0,0
92675,7,2017,R,Y,11474,8566509,747
92676,7,2017,A,Y,0,0,0
92676,7,2017,C,Y,0,0,0
92676,7,2017,I,Y,0,0,0
92676,7,2017,R,Y,0,0,0
92677,7,2017,A,Y,0,0,0
92677,7,2017,C,Y,1990,12036170,6048
92677,7,2017,I,Y,0,0,0
92677,7,2017,R,Y,23560,15016384,637
92679,7,2017,A,Y,0,0,0
92679,7,2017,C,Y,0,0,0
92679,7,2017,I,Y,0,0,0
92679,7,2017,R,N,3341,4177470,1250
92688,7,2017,A,Y,0,0,0
92688,7,2017,C,Y,0,0,0
92688,7,2017,I,Y,0,0,0
92688,7,2017,R,N,2065,1601439,776
92690,7,2017,A,Y,0,0,0
92690,7,2017,C,Y,0,0,0
92690,7,2017,I,Y,0,0,0
92690,7,2017,R,Y,0,0,0
92691,7,2017,A,Y,0,0,0
92691,7,2017,C,Y,442,5566987,12595
92691,7,2017,I,Y,32,16684563,521393
92691,7,2017,R,Y,4179,2934626,702
92692,7,2017,A,Y,0,0,0
92692,7,2017,C,Y,464,4045570,8719
92692,7,2017,I,Y,0,0,0
92692,7,2017,R,Y,6669,4987497,748
92693,7,2017,A,Y,0,0,0
92693,7,2017,C,Y,0,0,0
92693,7,2017,I,Y,0,0,0
92693,7,2017,R,Y,0,0,0
92694,7,2017,A,Y,0,0,0
92694,7,2017,C,N,306,2516949,8225
92694,7,2017,I,Y,0,0,0
92694,7,2017,R,N,10283,8429756,820
91901,8,2017,A,Y,0,0,0
